01/09/1984,21/04/1985,18,662,FC Barcelona,Hugo Sánchez Márquez,,México,11/07/1958,26,Atlético de Madrid,01/07/1981,3,FALSO,19
03/09/1983,29/04/1984,18,782,Athletic Club / Atlético de Bilbao,Jorge Orosmán da Silva Echeverrito,Jorge da Silva,Uruguay,11/12/1961,22,Real Valladolid,01/07/1982,1,FALSO,17
04/09/1982,01/05/1983,18,780,Athletic Club / Atlético de Bilbao,Hipólito Rincón Povedano,Poli Rincón,España,28/04/1957,26,Real Betis Balompié,01/07/1981,1,FALSO,20
19/09/1981,25/04/1982,18,853,Real Sociedad de Fútbol,Enrique Castro González,Quini,España,23/09/1949,32,FC Barcelona,01/07/1980,1,FALSO,27
06/09/1980,26/04/1981,18,829,Real Sociedad de Fútbol,Enrique Castro González,Quini,España,23/09/1949,31,FC Barcelona,01/07/1980,0,FALSO,20
08/09/1979,18/05/1980,18,766,Real Madrid CF,Enrique Castro González,Quini,España,23/09/1949,30,Sporting de Gijón / Real Gijón,01/07/1968,11,FALSO,24
02/09/1978,03/06/1979,18,825,Real Madrid CF,Johann Krankl,Hans Krankl,Austria,14/02/1953,26,FC Barcelona,01/07/1978,0,FALSO,29
03/09/1977,07/05/1978,18,843,Real Madrid CF,Mario Alberto Kempes Chiodi,,Argentina,15/07/1954,23,Valencia CF,01/07/1976,1,FALSO,28
04/09/1976,22/05/1977,18,829,Atlético de Madrid,Mario Alberto Kempes Chiodi,,Argentina,15/07/1954,22,Valencia CF,01/07/1976,0,FALSO,24
06/09/1975,16/05/1976,18,765,Real Madrid CF,Enrique Castro González,Quini,España,23/09/1949,26,Sporting de Gijón / Real Gijón,01/07/1968,7,FALSO,21
07/09/1974,25/05/1975,18,745,Real Madrid CF,Carlos Ruiz Herrero,Carlos,España,07/06/1948,26,Athletic Club / Atlético de Bilbao,01/07/1970,4,FALSO,19
01/09/1973,20/05/1974,18,710,FC Barcelona,Enrique Castro González,Quini,España,23/09/1949,24,Sporting de Gijón / Real Gijón,01/07/1968,5,FALSO,20
02/09/1972,20/05/1973,18,656,Atlético de Madrid,Mariano Arias Charmorro,Marianín,España,18/05/1946,27,Real Oviedo,01/07/1972,0,FALSO,19
04/09/1971,14/05/1972,18,675,Real Madrid CF,Enrique Porta Guíu,,España,17/12/1944,27,Granada CF,01/07/1968,3,FALSO,20
12/09/1970,18/04/1971,16,543,Valencia CF,José Eulogio Gárate Ormaechea,,España,20/10/1944,26,Atlético de Madrid,01/07/1966,4,FALSO,17
13/09/1969,19/04/1970,16,567,Atlético de Madrid,José Luis Aragonés Suárez Martínez,,España,28/07/1938,31,Atlético de Madrid,01/07/1964,5,VERDADERO,16
